_id,created_at,updated_at,deleted_at,last_updated_at,last_deleted_at,common_order,is_dental
1491,2012-12-15 00:07:36,2012-12-15 00:07:36,2013-01-15 18:02:00,1355530056.911,1358272920.089,,0
1492,2013-03-13 18:18:03,2013-03-13 18:18:03,,1363198683.007,,,0
1493,2013-03-21 21:21:09,2013-03-21 21:21:09,,1363900869.525,,,0
1494,2013-05-17 03:13:17,2013-06-23 17:02:03,,1372006923.818,,,0
1495,2013-05-17 03:13:17,2013-06-23 17:05:03,,1372007103.902,,,0
1496,2013-05-17 03:13:17,2013-06-23 17:12:20,,1372007540.836,,,0
1497,2013-05-17 03:13:17,2014-06-27 19:54:16,,1403898856.408,,,0
1498,2013-05-17 03:13:17,2013-06-23 17:51:37,,1372009897.704,,,0
1499,2013-05-17 03:13:17,2013-06-23 17:51:51,,1372009911.364,,,0
1500,2013-05-17 03:13:17,2013-06-23 17:16:50,,1372007810.242,,,0
1501,2013-05-17 03:13:17,2013-06-23 17:17:26,,1372007846.492,,,0
1502,2013-05-17 03:13:17,2013-06-23 17:52:50,,1372009970.173,,,0
1503,2013-05-17 03:13:17,2013-06-23 17:53:21,,1372010001.898,,,0
1504,2013-05-17 03:13:17,2013-06-23 17:43:18,,1372009398.874,,,0
1505,2013-05-17 03:13:17,2013-06-23 17:43:34,,1372009414.604,,,0
1506,2013-05-17 03:13:17,2013-06-23 17:44:36,,1372009476.585,,,0
1507,2013-05-17 03:13:17,2013-06-23 17:55:35,,1372010135.466,,,0
1508,2013-05-30 21:56:51,2013-05-30 21:56:51,2013-05-30 21:57:05,1369951011.268,1369951026.121,,0
1510,2015-08-18 20:21:02,2015-08-18 20:21:02,,1439929262.437,,,0
